Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,4.450000,4.510000,4.300000,4.310000,4.310000,9182500
2020-05-12,4.370000,4.540000,4.260000,4.280000,4.280000,9233900
2020-05-13,4.250000,4.440000,3.970000,4.110000,4.110000,16999800
2020-05-14,4.060000,4.080000,3.800000,4.060000,4.060000,17036400
2020-05-15,4.000000,4.120000,3.860000,4.080000,4.080000,6831400
2020-05-18,4.230000,4.250000,4.120000,4.170000,4.170000,7486500
2020-05-19,4.150000,4.370000,4.140000,4.170000,4.170000,9076900
2020-05-20,4.260000,4.340000,4.180000,4.220000,4.220000,6979900
2020-05-21,4.200000,4.260000,4.090000,4.170000,4.170000,6880200
2020-05-22,4.170000,4.170000,4.050000,4.110000,4.110000,4939500
2020-05-26,4.200000,4.390000,4.180000,4.220000,4.220000,13350600
2020-05-27,4.280000,4.380000,4.030000,4.330000,4.330000,13745100
2020-05-28,4.290000,4.510000,4.220000,4.250000,4.250000,14081200
2020-05-29,4.270000,4.280000,4.090000,4.210000,4.210000,11848000
2020-06-01,4.110000,4.340000,4.110000,4.280000,4.280000,9989600
2020-06-02,4.300000,4.310000,4.110000,4.150000,4.150000,11980400
2020-06-03,4.170000,4.200000,4.120000,4.170000,4.170000,7583400
2020-06-04,4.250000,5.000000,4.210000,5.000000,5.000000,33028500
2020-06-05,5.050000,5.100000,4.750000,4.880000,4.880000,24537100
2020-06-08,5.000000,5.300000,4.930000,5.280000,5.280000,18109800
2020-06-09,5.150000,5.320000,5.070000,5.100000,5.100000,13107600
2020-06-10,5.290000,5.970000,5.190000,5.660000,5.660000,39394200
2020-06-11,5.430000,5.430000,4.720000,4.750000,4.750000,25600100
2020-06-12,5.160000,5.360000,4.880000,5.060000,5.060000,15566800
2020-06-15,4.950000,5.270000,4.830000,5.210000,5.210000,11289300
2020-06-16,5.480000,5.620000,5.270000,5.450000,5.450000,14720600
2020-06-17,5.490000,5.510000,5.250000,5.290000,5.290000,10307400
2020-06-18,5.170000,5.450000,5.120000,5.390000,5.390000,8186200
2020-06-19,5.440000,5.640000,5.350000,5.480000,5.480000,14987000
2020-06-22,5.470000,5.610000,5.390000,5.570000,5.570000,9008400
2020-06-23,6.030000,7.030000,5.970000,6.430000,6.430000,69169600
2020-06-24,7.250000,7.810000,6.910000,7.570000,7.570000,87133400
2020-06-25,7.430000,7.530000,7.070000,7.350000,7.350000,33448100
2020-06-26,7.250000,7.280000,6.620000,6.830000,6.830000,29148100
2020-06-29,7.070000,8.260000,7.060000,7.990000,7.990000,46928500
2020-06-30,8.270000,8.340000,7.740000,8.210000,8.210000,34003600
2020-07-01,8.640000,9.310000,8.440000,8.870000,8.870000,55809100
2020-07-02,9.520000,9.650000,8.950000,9.100000,9.100000,38140000
2020-07-06,9.630000,10.490000,9.520000,9.980000,9.980000,54725200
2020-07-07,9.550000,9.690000,8.710000,9.340000,9.340000,44654100
2020-07-08,9.690000,9.730000,9.210000,9.500000,9.500000,24096200
2020-07-09,9.350000,9.360000,8.500000,8.950000,8.950000,44600200
2020-07-10,8.850000,9.490000,8.760000,9.300000,9.300000,27933200
